high_season,min_diff,period_day,delay_15
1.0,3.0,night,0
1.0,9.0,night,0
1.0,9.0,night,0
1.0,3.0,night,0
1.0,-2.0,night,0
1.0,34.0,night,1
1.0,-5.0,night,0
1.0,-5.0,night,0
1.0,40.0,night,1
1.0,69.0,night,1
1.0,-9.0,night,0
1.0,14.0,night,0
1.0,-7.0,night,0
1.0,-4.0,night,0
1.0,-11.0,night,0
1.0,-9.0,night,0
1.0,-9.0,night,0
1.0,-12.0,night,0
1.0,15.0,night,0
1.0,-2.0,night,0
1.0,2.0,night,0
1.0,8.0,night,0
1.0,-5.0,night,0
1.0,52.0,night,1
1.0,-5.0,night,0
1.0,0.0,night,0
1.0,26.0,night,1
1.0,-3.0,night,0
1.0,-5.0,night,0
1.0,2.0,night,0
1.0,2.0,night,0
1.0,-7.0,night,0
1.0,-1.0,night,0
1.0,5.0,night,0
1.0,-4.0,night,0
1.0,1.0,night,0
1.0,-5.0,night,0
1.0,3.0,night,0
1.0,-2.0,night,0
1.0,-4.0,night,0
1.0,-6.0,night,0
1.0,4.0,night,0
1.0,-4.0,night,0
1.0,-4.0,night,0
1.0,-9.0,night,0
1.0,-10.0,night,0
1.0,0.0,night,0
1.0,-2.0,night,0
1.0,1.0,night,0
1.0,-4.0,night,0
1.0,10.0,night,0
1.0,20.0,night,1
1.0,11.0,night,0
1.0,24.0,night,1
1.0,-5.0,night,0
1.0,-7.0,night,0
1.0,14.0,night,0
1.0,5.0,night,0
1.0,0.0,night,0
1.0,25.0,night,1
1.0,1.0,night,0
1.0,0.0,night,0
1.0,-4.0,night,0
1.0,13.0,night,0
1.0,-3.0,night,0
1.0,2.0,night,0
1.0,-5.0,night,0
1.0,0.0,night,0
1.0,-2.0,night,0
1.0,3.0,night,0
1.0,-9.0,night,0
1.0,5.0,night,0
1.0,-3.0,night,0
1.0,-4.0,night,0
1.0,-10.0,night,0
1.0,-9.0,night,0
1.0,62.0,night,1
1.0,2.0,night,0
1.0,-8.0,night,0
1.0,19.0,afternoon,1
1.0,60.0,afternoon,1
1.0,17.0,afternoon,1
1.0,26.0,afternoon,1
1.0,14.0,afternoon,0
1.0,67.0,afternoon,1
1.0,84.0,afternoon,1
1.0,63.0,afternoon,1
1.0,97.0,afternoon,1
1.0,17.0,afternoon,1
1.0,90.0,afternoon,1
1.0,130.0,afternoon,1
1.0,24.0,afternoon,1
1.0,77.0,afternoon,1
1.0,32.0,afternoon,1
1.0,39.0,afternoon,1
1.0,48.0,afternoon,1
1.0,6.0,afternoon,0
1.0,2.0,afternoon,0
1.0,28.0,afternoon,1
1.0,11.0,afternoon,0
1.0,33.0,afternoon,1
1.0,69.0,afternoon,1
1.0,20.0,afternoon,1
1.0,3.0,afternoon,0
1.0,22.0,afternoon,1
1.0,21.0,afternoon,1
1.0,22.0,afternoon,1
1.0,27.0,afternoon,1
1.0,6.0,afternoon,0
1.0,20.0,night,1
1.0,17.0,night,1
1.0,19.0,night,1
1.0,47.0,night,1
1.0,5.0,night,0
1.0,63.0,night,1
1.0,55.0,night,1
1.0,53.0,night,1
1.0,105.0,night,1
1.0,20.0,night,1
1.0,72.0,night,1
1.0,26.0,night,1
1.0,99.0,night,1
1.0,52.0,night,1
1.0,33.0,night,1
1.0,147.0,night,1
1.0,18.0,night,1
1.0,25.0,night,1
1.0,5.0,night,0
1.0,21.0,night,1
1.0,13.0,night,0
1.0,21.0,night,1
1.0,11.0,night,0
1.0,-4.0,night,0
1.0,-1.0,night,0
1.0,8.0,night,0
1.0,6.0,night,0
1.0,-4.0,night,0
1.0,6.0,night,0
1.0,-4.0,afternoon,0
1.0,0.0,afternoon,0
1.0,3.0,afternoon,0
1.0,-1.0,afternoon,0
1.0,-10.0,afternoon,0
1.0,16.0,afternoon,1
1.0,-1.0,afternoon,0
1.0,1.0,afternoon,0
1.0,14.0,afternoon,0
1.0,8.0,afternoon,0
1.0,7.0,afternoon,0
1.0,7.0,afternoon,0
1.0,5.0,afternoon,0
1.0,17.0,afternoon,1
1.0,1.0,afternoon,0
1.0,12.0,afternoon,0
1.0,-3.0,afternoon,0
1.0,33.0,afternoon,1
1.0,6.0,afternoon,0
1.0,-4.0,afternoon,0
1.0,8.0,afternoon,0
1.0,7.0,afternoon,0
1.0,-1.0,afternoon,0
1.0,3.0,afternoon,0
1.0,-7.0,afternoon,0
1.0,12.0,afternoon,0
1.0,-2.0,afternoon,0
1.0,7.0,afternoon,0
1.0,14.0,afternoon,0
1.0,14.0,afternoon,0
1.0,-5.0,afternoon,0
1.0,-11.0,night,0
1.0,13.0,night,0
1.0,-2.0,night,0
1.0,-12.0,night,0
1.0,7.0,night,0
1.0,-1.0,night,0
1.0,14.0,night,0
1.0,-7.0,night,0
1.0,-6.0,night,0
1.0,0.0,night,0
1.0,-3.0,night,0
1.0,-9.0,night,0
1.0,-4.0,night,0
1.0,-2.0,night,0
1.0,-7.0,night,0
1.0,-3.0,night,0
1.0,1.0,night,0
1.0,4.0,night,0
1.0,-9.0,night,0
1.0,138.0,night,1
1.0,-1.0,night,0
1.0,-13.0,night,0
1.0,-11.0,night,0
1.0,-11.0,night,0
1.0,-9.0,night,0
1.0,-7.0,night,0
1.0,-5.0,night,0
1.0,-1.0,night,0
1.0,-2.0,night,0
1.0,13.0,night,0
1.0,-9.0,night,0
1.0,-1.0,night,0
1.0,-10.0,morning,0
1.0,2.0,morning,0
1.0,-2.0,morning,0
1.0,31.0,morning,1
1.0,18.0,morning,1
1.0,-13.0,morning,0
1.0,-6.0,morning,0
1.0,0.0,morning,0
1.0,20.0,morning,1
1.0,8.0,morning,0
1.0,11.0,morning,0
1.0,-8.0,morning,0
1.0,88.0,morning,1
1.0,17.0,morning,1
1.0,27.0,morning,1
1.0,2.0,morning,0
1.0,1.0,morning,0
1.0,33.0,morning,1
1.0,11.0,morning,0
1.0,2.0,morning,0
1.0,10.0,morning,0
1.0,-5.0,morning,0
1.0,-1.0,morning,0
1.0,-12.0,morning,0
1.0,-5.0,morning,0
1.0,-3.0,morning,0
1.0,-10.0,morning,0
1.0,3.0,morning,0
1.0,1.0,morning,0
1.0,1.0,morning,0
1.0,35.0,morning,1
1.0,-11.0,morning,0
1.0,-11.0,morning,0
1.0,-10.0,morning,0
1.0,6.0,morning,0
1.0,14.0,morning,0
1.0,-7.0,morning,0
1.0,-11.0,morning,0
1.0,0.0,morning,0
1.0,5.0,morning,0
1.0,18.0,morning,1
1.0,-8.0,morning,0
1.0,-1.0,morning,0
1.0,-11.0,morning,0
1.0,17.0,morning,1
1.0,15.0,morning,0
1.0,1.0,morning,0
1.0,-4.0,morning,0
1.0,30.0,morning,1
1.0,-13.0,morning,0
1.0,-4.0,morning,0
1.0,-5.0,morning,0
1.0,-6.0,morning,0
1.0,-7.0,afternoon,0
1.0,5.0,afternoon,0
1.0,25.0,afternoon,1
1.0,4.0,afternoon,0
1.0,-10.0,afternoon,0
1.0,11.0,afternoon,0
1.0,-14.0,afternoon,0
1.0,-2.0,afternoon,0
1.0,-3.0,afternoon,0
1.0,7.0,afternoon,0
1.0,9.0,afternoon,0
1.0,42.0,afternoon,1
1.0,9.0,afternoon,0
1.0,4.0,afternoon,0
1.0,-9.0,afternoon,0
1.0,-8.0,afternoon,0
1.0,-7.0,afternoon,0
1.0,6.0,afternoon,0
1.0,-5.0,afternoon,0
1.0,0.0,afternoon,0
1.0,-9.0,afternoon,0
1.0,-6.0,afternoon,0
1.0,1.0,afternoon,0
1.0,-2.0,afternoon,0
1.0,-3.0,afternoon,0
1.0,1.0,afternoon,0
1.0,-3.0,afternoon,0
1.0,-4.0,afternoon,0
1.0,-3.0,afternoon,0
1.0,-12.0,afternoon,0
1.0,14.0,afternoon,0
1.0,-6.0,night,0
1.0,-1.0,night,0
1.0,28.0,night,1
1.0,-1.0,night,0
1.0,-1.0,night,0
1.0,-8.0,night,0
1.0,8.0,night,0
1.0,12.0,night,0
1.0,-8.0,night,0
1.0,-3.0,night,0
1.0,37.0,night,1
1.0,4.0,night,0
1.0,7.0,night,0
1.0,-3.0,night,0
1.0,9.0,night,0
1.0,-1.0,night,0
1.0,-4.0,night,0
1.0,3.0,night,0
1.0,-6.0,night,0
1.0,8.0,night,0
1.0,7.0,night,0
1.0,-7.0,night,0
1.0,-2.0,night,0
1.0,-8.0,night,0
1.0,1.0,night,0
1.0,-14.0,night,0
1.0,-10.0,night,0
1.0,-11.0,night,0
1.0,-2.0,night,0
1.0,27.0,morning,1
1.0,4.0,morning,0
1.0,-2.0,morning,0
1.0,15.0,morning,0
1.0,1.0,night,0
1.0,3.0,night,0
1.0,22.0,night,1
1.0,26.0,night,1
1.0,4.0,night,0
1.0,14.0,night,0
1.0,7.0,night,0
1.0,87.0,night,1
1.0,-1.0,night,0
1.0,-14.0,night,0
1.0,0.0,night,0
1.0,27.0,night,1
1.0,8.0,night,0
1.0,10.0,night,0
1.0,5.0,night,0
1.0,1.0,night,0
1.0,-9.0,night,0
1.0,15.0,night,0
1.0,1.0,night,0
1.0,21.0,night,1
1.0,-1.0,night,0
1.0,-13.0,night,0
1.0,21.0,night,1
1.0,-5.0,night,0
1.0,-2.0,night,0
1.0,6.0,night,0
1.0,-1.0,night,0
1.0,-2.0,night,0
1.0,-8.0,night,0
1.0,-6.0,morning,0
1.0,3.0,morning,0
1.0,16.0,morning,1
1.0,65.0,afternoon,1
1.0,27.0,morning,1
1.0,0.0,morning,0
1.0,-2.0,morning,0
1.0,2.0,morning,0
1.0,-2.0,morning,0
1.0,-7.0,morning,0
1.0,-3.0,morning,0
1.0,40.0,morning,1
1.0,11.0,morning,0
1.0,-3.0,morning,0
1.0,16.0,morning,1
1.0,13.0,morning,0
1.0,1.0,morning,0
1.0,13.0,morning,0
1.0,-2.0,morning,0
1.0,-3.0,morning,0
1.0,-7.0,morning,0
1.0,28.0,morning,1
1.0,0.0,morning,0
1.0,5.0,morning,0
1.0,-1.0,morning,0
1.0,-8.0,morning,0
1.0,7.0,morning,0
1.0,-9.0,morning,0
1.0,3.0,morning,0
1.0,38.0,afternoon,1
1.0,6.0,afternoon,0
1.0,2.0,afternoon,0
1.0,19.0,afternoon,1
1.0,15.0,afternoon,0
1.0,27.0,afternoon,1
1.0,59.0,afternoon,1
1.0,14.0,afternoon,0
1.0,-3.0,afternoon,0
1.0,14.0,afternoon,0
1.0,19.0,afternoon,1
1.0,5.0,afternoon,0
1.0,13.0,afternoon,0
1.0,19.0,afternoon,1
1.0,10.0,afternoon,0
1.0,37.0,afternoon,1
1.0,23.0,afternoon,1
1.0,11.0,afternoon,0
1.0,7.0,afternoon,0
1.0,15.0,afternoon,0
1.0,1.0,afternoon,0
1.0,15.0,afternoon,0
1.0,30.0,afternoon,1
1.0,22.0,afternoon,1
1.0,37.0,afternoon,1
1.0,12.0,afternoon,0
1.0,0.0,afternoon,0
1.0,6.0,afternoon,0
1.0,21.0,afternoon,1
1.0,-2.0,afternoon,0
1.0,17.0,afternoon,1
1.0,8.0,morning,0
1.0,6.0,morning,0
1.0,5.0,night,0
1.0,-4.0,night,0
1.0,-10.0,night,0
1.0,12.0,night,0
1.0,-2.0,night,0
1.0,-13.0,night,0
1.0,-12.0,night,0
1.0,-10.0,night,0
1.0,-14.0,night,0
1.0,3.0,night,0
1.0,-6.0,night,0
1.0,-13.0,night,0
1.0,-13.0,night,0
1.0,-9.0,night,0
1.0,-1.0,night,0
1.0,3.0,night,0
1.0,-1.0,night,0
1.0,-12.0,night,0
1.0,-8.0,night,0
1.0,-14.0,night,0
1.0,1.0,night,0
1.0,-6.0,night,0
1.0,-5.0,night,0
1.0,-7.0,night,0
1.0,-1.0,night,0
1.0,-4.0,night,0
1.0,-14.0,night,0
1.0,-5.0,night,0
1.0,32.0,morning,1
1.0,37.0,afternoon,1
1.0,10.0,afternoon,0
1.0,-5.0,afternoon,0
1.0,6.0,afternoon,0
1.0,13.0,afternoon,0
1.0,9.0,afternoon,0
1.0,2.0,afternoon,0
1.0,32.0,afternoon,1
1.0,10.0,afternoon,0
1.0,26.0,afternoon,1
1.0,13.0,afternoon,0
1.0,11.0,afternoon,0
1.0,6.0,afternoon,0
1.0,14.0,afternoon,0
1.0,17.0,afternoon,1
1.0,10.0,afternoon,0
1.0,-4.0,afternoon,0
1.0,10.0,afternoon,0
1.0,9.0,afternoon,0
1.0,-6.0,afternoon,0
1.0,3.0,afternoon,0
1.0,-3.0,afternoon,0
1.0,-1.0,afternoon,0
1.0,1.0,afternoon,0
1.0,46.0,afternoon,1
1.0,3.0,afternoon,0
1.0,51.0,afternoon,1
1.0,0.0,afternoon,0
1.0,94.0,afternoon,1
1.0,68.0,afternoon,1
1.0,23.0,afternoon,1
1.0,4.0,afternoon,0
1.0,-1.0,afternoon,0
1.0,4.0,afternoon,0
1.0,-5.0,afternoon,0
1.0,12.0,afternoon,0
1.0,5.0,afternoon,0
1.0,-6.0,afternoon,0
1.0,0.0,afternoon,0
1.0,-3.0,morning,0
1.0,0.0,morning,0
1.0,3.0,morning,0
1.0,-1.0,morning,0
1.0,-5.0,morning,0
1.0,-9.0,morning,0
1.0,-2.0,morning,0
1.0,2.0,morning,0
1.0,1.0,morning,0
1.0,-2.0,morning,0
1.0,-10.0,morning,0
1.0,1.0,morning,0
1.0,-1.0,morning,0
1.0,-2.0,morning,0
1.0,-6.0,morning,0
1.0,8.0,morning,0
1.0,-6.0,morning,0
1.0,-2.0,morning,0
1.0,4.0,morning,0
1.0,-4.0,morning,0
1.0,-8.0,morning,0
1.0,-5.0,morning,0
1.0,1.0,morning,0
1.0,-1.0,morning,0
1.0,-7.0,morning,0
1.0,-3.0,morning,0
1.0,-1.0,morning,0
1.0,-3.0,morning,0
1.0,-11.0,morning,0
1.0,7.0,morning,0
1.0,8.0,morning,0
1.0,-3.0,afternoon,0
1.0,0.0,afternoon,0
1.0,-4.0,afternoon,0
1.0,0.0,afternoon,0
1.0,0.0,afternoon,0
1.0,-12.0,afternoon,0
1.0,8.0,afternoon,0
1.0,24.0,afternoon,1
1.0,1.0,afternoon,0
1.0,-10.0,afternoon,0
1.0,-9.0,afternoon,0
1.0,-6.0,afternoon,0
1.0,-6.0,afternoon,0
1.0,6.0,afternoon,0
1.0,-6.0,afternoon,0
1.0,14.0,afternoon,0
1.0,0.0,afternoon,0
1.0,-4.0,afternoon,0
1.0,-4.0,afternoon,0
1.0,-10.0,afternoon,0
1.0,19.0,afternoon,1
1.0,-2.0,afternoon,0
1.0,-8.0,afternoon,0
1.0,3.0,afternoon,0
1.0,-4.0,afternoon,0
1.0,-4.0,afternoon,0
1.0,-1.0,afternoon,0
1.0,10.0,afternoon,0
1.0,-9.0,afternoon,0
1.0,3.0,afternoon,0
1.0,0.0,afternoon,0
1.0,-6.0,night,0
1.0,-6.0,night,0
1.0,-7.0,night,0
1.0,-9.0,night,0
1.0,-4.0,night,0
1.0,4.0,night,0
1.0,-2.0,night,0
1.0,32.0,night,1
1.0,-8.0,night,0
1.0,3.0,night,0
1.0,-9.0,night,0
1.0,-11.0,night,0
1.0,-6.0,night,0
1.0,-13.0,night,0
1.0,-10.0,night,0
1.0,-12.0,night,0
1.0,2.0,night,0
1.0,-14.0,night,0
1.0,-10.0,night,0
1.0,-8.0,night,0
1.0,-4.0,night,0
1.0,-14.0,night,0
1.0,-4.0,night,0
1.0,-6.0,night,0
1.0,-2.0,night,0
1.0,-8.0,night,0
1.0,-10.0,night,0
1.0,0.0,night,0
1.0,8.0,morning,0
1.0,-7.0,morning,0
1.0,4.0,morning,0
1.0,15.0,morning,0
1.0,-3.0,morning,0
1.0,6.0,morning,0
1.0,57.0,morning,1
1.0,8.0,morning,0
1.0,26.0,morning,1
1.0,-1.0,morning,0
